,name,crn,address1,address2,postTown,county,country,postcode,category,status,origin,accounts_lastMadeUpDate,accountCategory,returns_lastMadeUpDate,sic1,sic2,sic3,sic4,POSTCODE,POSTCODE2,POSTCODE_PCDS,LAT,LONG,LEP1,LEP2,COUNTY_CODE,COUNTY_DIST_CODE,WARD_CODE,website
519,EUROPA (FRENCHGATE) LIMITED,04103986,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,NORTH YORKSHIRE,,YO11 2AQ,Private Limited Company,Liquidation,United Kingdom,29/02/2016,DORMANT,08/11/2015,99999 - Dormant Company,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
520,EUROPA PROPERTY COMPANY (NORTHERN) LIMITED,02873450,EUROPA HOUSE 20 ESPLANADE,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 2AQ,Private Limited Company,Active,United Kingdom,28/02/2017,FULL,15/11/2015,41100 - Development of building projects,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
521,FAIRBRIAR (SALFORD) LAND DEVELOPMENTS LIMITED,07753236,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,,,YO11 2AQ,Private Limited Company,Active,United Kingdom,31/12/2016,FULL,25/08/2015,41100 - Development of building projects,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
522,FAIRBRIAR COMMERCIAL LIMITED,10453059,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,,UNITED KINGDOM,YO11 2AQ,Private Limited Company,Active,United Kingdom,,NO ACCOUNTS FILED,,68320 - Management of real estate on a fee or contract basis,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
523,FAIRBRIAR DEVELOPMENT HOLDINGS LIMITED,10919079,"EUROPA HOUSE, 20",ESPLANADE,SCARBOROUGH,NORTH YORKSHIRE,,YO11 2AQ,Private Limited Company,Active,United Kingdom,,NO ACCOUNTS FILED,,68100 - Buying and selling of own real estate,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
524,FAIRBRIAR DEVELOPMENTS (SALFORD) LIMITED,07749089,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,,,YO11 2AQ,Private Limited Company,Active,United Kingdom,31/12/2016,FULL,23/08/2015,41100 - Development of building projects,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
525,FAIRBRIAR DEVELOPMENTS LIMITED,08039872,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,,,YO11 2AQ,Private Limited Company,Active,United Kingdom,28/02/2017,DORMANT,20/04/2016,99999 - Dormant Company,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,http://www.scarboroughgroup.com/
526,FAIRBRIAR GROUP HOLDINGS LIMITED,08040078,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,,,YO11 2AQ,Private Limited Company,Active,United Kingdom,28/02/2017,DORMANT,20/04/2016,99999 - Dormant Company,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
527,FAIRBRIAR GROUP LIMITED,08040073,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,,,YO11 2AQ,Private Limited Company,Active,United Kingdom,28/02/2017,DORMANT,20/04/2016,99999 - Dormant Company,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
528,FAIRBRIAR HATBOX LIMITED,08891940,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,NORTH YORKSHIRE,,YO11 2AQ,Private Limited Company,Active,United Kingdom,31/12/2016,FULL,12/02/2016,41202 - Construction of domestic buildings,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
529,FAIRBRIAR HOMES LIMITED,08040062,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,,,YO11 2AQ,Private Limited Company,Active,United Kingdom,28/02/2017,DORMANT,20/04/2016,99999 - Dormant Company,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
530,FAIRBRIAR LIMITED,07520070,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,,,YO11 2AQ,Private Limited Company,Active,United Kingdom,28/02/2017,DORMANT,07/02/2016,99999 - Dormant Company,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
531,FAIRBRIAR MANAGEMENT PH1 LIMITED,11059026,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,,UNITED KINGDOM,YO11 2AQ,Private Limited Company,Active,United Kingdom,,NO ACCOUNTS FILED,,41100 - Development of building projects,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
532,FAIRBRIAR PROPERTIES LIMITED,08039877,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,,,YO11 2AQ,Private Limited Company,Active,United Kingdom,28/02/2017,DORMANT,20/04/2016,99999 - Dormant Company,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
533,FAIRBRIAR REAL ESTATE DEVELOPMENTS LIMITED,08920388,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,NORTH YORKSHIRE,,YO11 2AQ,Private Limited Company,Active,United Kingdom,31/12/2016,FULL,03/03/2016,68100 - Buying and selling of own real estate,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
534,FAIRBRIAR REAL ESTATE LIMITED,08891830,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,NORTH YORKSHIRE,,YO11 2AQ,Private Limited Company,Active,United Kingdom,31/12/2016,GROUP,12/02/2016,64203 - Activities of construction holding companies,68100 - Buying and selling of own real estate,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
535,FAIRBRIAR RESIDENTIAL DEVELOPMENTS LIMITED,07185049,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,,,YO11 2AQ,Private Limited Company,Active,United Kingdom,28/02/2017,FULL,10/03/2016,64203 - Activities of construction holding companies,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
536,HAYMARKET HOUSE (BELFAST) LIMITED,04327374,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,NORTH YORKSHIRE,,YO11 2AQ,Private Limited Company,Liquidation,United Kingdom,29/02/2016,FULL,22/11/2015,68100 - Buying and selling of own real estate,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
537,HEDLEY-NOBLE ASSOCIATES LIMITED,04534290,1 HEDLEY COURT,29 ESPLANADE,SCARBOROUGH,,,YO11 2AQ,Private Limited Company,Active - Proposal to Strike off,United Kingdom,30/09/2017,TOTAL EXEMPTION FULL,13/09/2015,69202 - Bookkeeping activities,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
538,JOHN STREET DEVELOPMENTS LIMITED,05805777,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,NORTH YORKSHIRE,,YO11 2AQ,Private Limited Company,Active,United Kingdom,30/06/2017,FULL,04/05/2016,68100 - Buying and selling of own real estate,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
539,LANCHESTERS (RESIDENTIAL) MANAGEMENT LIMITED,08782303,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,NORTH YORKSHIRE,,YO11 2AQ,Private Limited Company,Active,United Kingdom,30/11/2016,TOTAL EXEMPTION FULL,19/11/2015,68209 - Other letting and operating of own or leased real estate,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
540,MIDDLEWOOD LOCKS ESTATE MANAGEMENT LIMITED,05139353,EUROPA HOUSE 20,ESPLANADE,SCARBOROUGH,NORTH YORKSHIRE,,YO11 2AQ,Private Limited Company,Active,United Kingdom,31/12/2016,DORMANT,27/05/2016,68320 - Management of real estate on a fee or contract basis,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
541,MIDDLEWOOD LOCKS RESIDENTIAL LIMITED,10409101,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,NORTH YORKSHIRE,UNITED KINGDOM,YO11 2AQ,Private Limited Company,Active,United Kingdom,,NO ACCOUNTS FILED,,68100 - Buying and selling of own real estate,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
542,ML PHASE 2 LIMITED,10765412,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,NORTH YORKSHIRE,UNITED KINGDOM,YO11 2AQ,Private Limited Company,Active,United Kingdom,,NO ACCOUNTS FILED,,41100 - Development of building projects,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
543,QUANTUM PROPERTY (POYLE) LIMITED,06547421,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,NORTH YORKSHIRE,,YO11 2AQ,Private Limited Company,Active,United Kingdom,28/02/2017,FULL,28/03/2016,68100 - Buying and selling of own real estate,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
544,REMOTE PROPERTIES 1175 LIMITED,04330675,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,NORTH YORKSHIRE,,YO11 2AQ,Private Limited Company,Active,United Kingdom,28/02/2017,FULL,28/11/2015,68209 - Other letting and operating of own or leased real estate,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
545,REMOTE PROPERTIES 1250 (A) LIMITED,04171983,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,NORTH YORKSHIRE,,YO11 2AQ,Private Limited Company,Live but Receiver Manager on at least one charge,United Kingdom,28/02/2010,TOTAL EXEMPTION FULL,02/03/2011,7011 - Development & sell real estate,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
546,REMOTE PROPERTIES 1250 (B) LIMITED,04171982,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,NORTH YORKSHIRE,,YO11 2AQ,Private Limited Company,Live but Receiver Manager on at least one charge,United Kingdom,28/02/2010,TOTAL EXEMPTION FULL,02/03/2011,7011 - Development & sell real estate,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
547,REMOTE PROPERTIES 2100 (A) LIMITED,04171845,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,NORTH YORKSHIRE,,YO11 2AQ,Private Limited Company,Live but Receiver Manager on at least one charge,United Kingdom,28/02/2010,TOTAL EXEMPTION FULL,02/03/2011,7011 - Development & sell real estate,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
548,REMOTE PROPERTIES 2100 (B) LIMITED,04171735,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,NORTH YORKSHIRE,,YO11 2AQ,Private Limited Company,Live but Receiver Manager on at least one charge,United Kingdom,28/02/2010,TOTAL EXEMPTION FULL,02/03/2011,7011 - Development & sell real estate,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
549,REMOTE PROPERTIES 2200 (A) LIMITED,04171729,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,NORTH YORKSHIRE,,YO11 2AQ,Private Limited Company,Live but Receiver Manager on at least one charge,United Kingdom,28/02/2010,TOTAL EXEMPTION FULL,02/03/2011,7011 - Development & sell real estate,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
550,REMOTE PROPERTIES 2200 (B) LIMITED,04171884,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,NORTH YORKSHIRE,,YO11 2AQ,Private Limited Company,Live but Receiver Manager on at least one charge,United Kingdom,28/02/2010,TOTAL EXEMPTION FULL,02/03/2011,7011 - Development & sell real estate,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
551,SCARBOROUGH (UK) LIMITED,07036722,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,,,YO11 2AQ,Private Limited Company,Active,United Kingdom,28/02/2017,FULL,07/10/2015,64209 - Activities of other holding companies n.e.c.,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,http://www.bikeitcyclewarehouse.com/
552,SCARBOROUGH ACERO LIMITED,11065002,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,,UNITED KINGDOM,YO11 2AQ,Private Limited Company,Active,United Kingdom,,NO ACCOUNTS FILED,,68100 - Buying and selling of own real estate,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
553,SCARBOROUGH BROMLEY LIMITED,07571595,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,,,YO11 2AQ,Private Limited Company,Liquidation,United Kingdom,29/02/2016,FULL,21/03/2016,68100 - Buying and selling of own real estate,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
554,SCARBOROUGH CHINA HOLDINGS LIMITED,04723744,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,NORTH YORKSHIRE,,YO11 2AQ,Private Limited Company,Active,United Kingdom,28/02/2017,FULL,04/04/2016,64209 - Activities of other holding companies n.e.c.,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,http://www.scarboroughgroup.com/
555,SCARBOROUGH CRAWLEY LIMITED,07571599,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,,,YO11 2AQ,Private Limited Company,Liquidation,United Kingdom,29/02/2016,FULL,21/03/2016,68100 - Buying and selling of own real estate,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
556,SCARBOROUGH DC LIMITED,08137065,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,,,YO11 2AQ,Private Limited Company,Active,United Kingdom,31/12/2016,FULL,10/07/2015,68320 - Management of real estate on a fee or contract basis,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,http://www.scarboroughgroup.com/
557,SCARBOROUGH DEVELOPMENT GROUP HOLDINGS LIMITED,07134205,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,NORTH YORKSHIRE,,YO11 2AQ,Private Limited Company,Active,United Kingdom,31/12/2016,DORMANT,22/01/2016,64209 - Activities of other holding companies n.e.c.,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,http://www.scarboroughgroup.com/
558,SCARBOROUGH DEVELOPMENT GROUP LIMITED,07128048,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,NORTH YORKSHIRE,,YO11 2AQ,Private Limited Company,Active,United Kingdom,31/12/2016,FULL,18/01/2016,64209 - Activities of other holding companies n.e.c.,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,http://www.scarboroughgroup.com/
559,SCARBOROUGH DIGITAL CAMPUS LIMITED,07832920,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,,,YO11 2AQ,Private Limited Company,Liquidation,United Kingdom,29/02/2016,FULL,02/11/2015,68100 - Buying and selling of own real estate,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
560,SCARBOROUGH ENTERPRISE CENTRE LIMITED,07640506,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,,,YO11 2AQ,Private Limited Company,Active,United Kingdom,28/02/2017,FULL,19/05/2016,68100 - Buying and selling of own real estate,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,http://www.yorkshirecoastenterprise.co.uk/
561,SCARBOROUGH ENTERPRISES (UK) LIMITED,07749083,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,,,YO11 2AQ,Private Limited Company,Active,United Kingdom,28/02/2017,FULL,23/08/2015,64209 - Activities of other holding companies n.e.c.,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,http://www.yorkshirecoastenterprise.co.uk/
562,SCARBOROUGH FINANCE COMPANY LIMITED,07749020,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,,,YO11 2AQ,Private Limited Company,Active,United Kingdom,28/02/2017,FULL,23/08/2015,64209 - Activities of other holding companies n.e.c.,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,http://www.financialwealthsolutions.co.uk/
563,SCARBOROUGH GF LIMITED,09359138,EUROPA HOUSE,ESPLANADE,SCARBOROUGH,NORTH YORKSHIRE,,YO11 2AQ,Private Limited Company,Active,United Kingdom,31/03/2017,TOTAL EXEMPTION FULL,17/12/2015,68209 - Other letting and operating of own or leased real estate,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
564,SCARBOROUGH GROUP FINANCE LIMITED,07456830,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,,,YO11 2AQ,Private Limited Company,Liquidation,United Kingdom,29/02/2016,FULL,01/12/2015,70221 - Financial management,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
565,SCARBOROUGH GROUP HOLDINGS LIMITED,05308019,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,NORTH YORKSHIRE,,YO11 2AQ,Private Limited Company,Active,United Kingdom,28/02/2017,FULL,08/12/2015,64209 - Activities of other holding companies n.e.c.,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
566,SCARBOROUGH GROUP LIMITED,05308255,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,NORTH YORKSHIRE,,YO11 2AQ,Private Limited Company,Active,United Kingdom,28/02/2017,FULL,08/12/2015,64209 - Activities of other holding companies n.e.c.,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,http://www.scarboroughgroup.com/
567,SCARBOROUGH HOLDING COMPANY LIMITED,07549544,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,,,YO11 2AQ,Private Limited Company,Active,United Kingdom,28/02/2017,FULL,02/03/2016,64209 - Activities of other holding companies n.e.c.,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,http://www.scarboroughgroup.com/
568,SCARBOROUGH HOLDINGS (UK) LIMITED,07075844,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,NORTH YORKSHIRE,,YO11 2AQ,Private Limited Company,Active,United Kingdom,28/02/2017,GROUP,13/11/2015,64209 - Activities of other holding companies n.e.c.,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
569,SCARBOROUGH INTERNATIONAL PROPERTIES LIMITED,09210679,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,NORTH YORKSHIRE,,YO11 2AQ,Private Limited Company,Active,United Kingdom,28/02/2017,GROUP,09/09/2015,68100 - Buying and selling of own real estate,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,http://www.scarboroughgroup.com/
570,SCARBOROUGH LEEDS LIMITED,07749095,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,,,YO11 2AQ,Private Limited Company,Active,United Kingdom,28/02/2017,FULL,23/08/2015,68100 - Buying and selling of own real estate,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
571,SCARBOROUGH MANAGEMENT LIMITED,07520077,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,,,YO11 2AQ,Private Limited Company,Active,United Kingdom,28/02/2017,FULL,07/02/2016,70100 - Activities of head offices,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,http://www.scarboroughproperties.co.uk/
572,SCARBOROUGH OVERSEAS HOLDINGS LIMITED,07549543,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,,,YO11 2AQ,Private Limited Company,Active,United Kingdom,28/02/2017,FULL,02/03/2016,64209 - Activities of other holding companies n.e.c.,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
573,SCARBOROUGH PAISLEY LIMITED,07749079,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,,,YO11 2AQ,Private Limited Company,Liquidation,United Kingdom,29/02/2016,FULL,23/08/2015,68100 - Buying and selling of own real estate,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
574,SCARBOROUGH PARTNERSHIP LIMITED,07226121,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,,,YO11 2AQ,Private Limited Company,Active,United Kingdom,31/12/2016,GROUP,16/04/2016,70221 - Financial management,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,http://www.scarboroughgroup.com/
575,SCARBOROUGH PARTNERSHIP PROPERTIES LIMITED,06763607,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,,,YO11 2AQ,Private Limited Company,Active,United Kingdom,28/02/2017,FULL,02/12/2015,68209 - Other letting and operating of own or leased real estate,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,http://www.scarboroughgroup.com/
576,SCARBOROUGH PROPERTY (UK) LIMITED,07749015,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,,,YO11 2AQ,Private Limited Company,Active,United Kingdom,28/02/2017,GROUP,23/08/2015,64209 - Activities of other holding companies n.e.c.,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,http://www.scarboroughgroup.com/
577,SCARBOROUGH PROPERTY DEVELOPMENTS LIMITED,07036711,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,,,YO11 2AQ,Private Limited Company,Active,United Kingdom,28/02/2017,FULL,07/10/2015,68320 - Management of real estate on a fee or contract basis,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,http://www.scarboroughgroup.com/
578,SCARBOROUGH PROPERTY GROUP LIMITED,01479518,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,NORTH YORKSHIRE,,YO11 2AQ,Private Limited Company,Active,United Kingdom,28/02/2017,FULL,31/07/2015,68209 - Other letting and operating of own or leased real estate,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,http://www.scarboroughgroup.com/
579,SCARBOROUGH PROPERTY HOLDINGS LIMITED,04515443,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,NORTH YORKSHIRE,,YO11 2AQ,Private Limited Company,Liquidation,United Kingdom,29/02/2016,FULL,20/08/2015,64209 - Activities of other holding companies n.e.c.,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,http://www.scarboroughgroup.com/
580,SCARBOROUGH SCOTIA LIMITED,07826630,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,,,YO11 2AQ,Private Limited Company,Active,United Kingdom,28/02/2017,FULL,27/10/2015,68100 - Buying and selling of own real estate,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
581,SCARBOROUGH THORPE PARK HOLDINGS LIMITED,09715586,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,NORTH YORKSHIRE,,YO11 2AQ,Private Limited Company,Active,United Kingdom,28/02/2017,FULL,,64209 - Activities of other holding companies n.e.c.,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
582,SCARBOROUGH WATFORD LIMITED,07571600,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,,,YO11 2AQ,Private Limited Company,Liquidation,United Kingdom,29/02/2016,FULL,21/03/2016,68100 - Buying and selling of own real estate,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
583,SCARFORD (HIRWAUN) LIMITED,05713226,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,NORTH YORKSHIRE,,YO11 2AQ,Private Limited Company,Active,United Kingdom,28/02/2017,FULL,17/02/2016,68100 - Buying and selling of own real estate,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
584,SCARFORD HIRWAUN NO. 1 LIMITED,07441413,EUROPA HOUSE,20 ESPLANADE,SCARBOROUGH,,,YO11 2AQ,Private Limited Company,Active,United Kingdom,28/02/2017,DORMANT,16/11/2015,99999 - Dormant Company,,,,YO112AQ,YO11 2AQ,YO11 2AQ,54.275043999999994,-0.398913,E37000039,,E10000023,E07000168,E05006334,Website not found
